item_id,user_id,collection_name,name,category,year,condition,value,description,image_url
0feaaa0c-93d7-4973-9999-ee6d11a20139,56c027e8-1bdd-4174-944f-a82d5dd18198,House Music Vinyls,Daft Punk - Homework,Vinyl,2020,New,146.56,Classic house music vinyl record: Daft Punk - Homework,
ecbb420e-0863-43df-b808-42f19ff6dc22,56c027e8-1bdd-4174-944f-a82d5dd18198,House Music Vinyls,Daft Punk - Discovery,Vinyl,2010,New,48.46,Classic house music vinyl record: Daft Punk - Discovery,
1c29e77c-df00-4e71-aa89-f7aa6605e8d2,56c027e8-1bdd-4174-944f-a82d5dd18198,House Music Vinyls,Daft Punk - Random Access Memories,Vinyl,1989,New,69.07,Classic house music vinyl record: Daft Punk - Random Access Memories,
7ed14dc3-54d3-46f2-84d6-fc654a9bfdba,56c027e8-1bdd-4174-944f-a82d5dd18198,House Music Vinyls,Frankie Knuckles - Baby Wants to Ride,Vinyl,1987,New,143.41,Classic house music vinyl record: Frankie Knuckles - Baby Wants to Ride,
e6e00a7e-4572-46ed-adb4-c5cfd491e558,56c027e8-1bdd-4174-944f-a82d5dd18198,House Music Vinyls,Marshall Jefferson - Move Your Body,Vinyl,2013,New,135.91,Classic house music vinyl record: Marshall Jefferson - Move Your Body,
49cdd45a-2fe8-4197-8988-9c49966e67a2,56c027e8-1bdd-4174-944f-a82d5dd18198,House Music Vinyls,Larry Heard - Can You Feel It,Vinyl,2021,New,67.96,Classic house music vinyl record: Larry Heard - Can You Feel It,
a17876a5-e6d6-4ca8-a842-99a2a2a3b1ef,56c027e8-1bdd-4174-944f-a82d5dd18198,House Music Vinyls,Robert Owens - Bring Down The Walls,Vinyl,1986,New,101.41,Classic house music vinyl record: Robert Owens - Bring Down The Walls,
c7a24288-2ee1-4dac-95b5-79bc98d37d69,56c027e8-1bdd-4174-944f-a82d5dd18198,House Music Vinyls,Joe Smooth - Promised Land,Vinyl,1980,New,39.9,Classic house music vinyl record: Joe Smooth - Promised Land,
c57ddd11-a407-4625-96d3-8fbff5a5adfa,56c027e8-1bdd-4174-944f-a82d5dd18198,House Music Vinyls,Mr. Fingers - Mystery of Love,Vinyl,2005,New,87.04,Classic house music vinyl record: Mr. Fingers - Mystery of Love,
eff8bfa1-779a-427a-9f86-3ec4d4af7e5c,56c027e8-1bdd-4174-944f-a82d5dd18198,House Music Vinyls,Inner City - Good Life,Vinyl,2007,New,35.66,Classic house music vinyl record: Inner City - Good Life,
7cd3567e-4bae-42f1-ad97-48763d9fed3d,56c027e8-1bdd-4174-944f-a82d5dd18198,House Music Vinyls,Technotronic - Pump Up The Jam,Vinyl,1997,New,91.93,Classic house music vinyl record: Technotronic - Pump Up The Jam,
a62e3d92-ea4e-41c7-bdeb-80e9eb5f689c,56c027e8-1bdd-4174-944f-a82d5dd18198,House Music Vinyls,808 State - Pacific State,Vinyl,2016,New,67.34,Classic house music vinyl record: 808 State - Pacific State,
27198814-b477-423f-abb1-c0fbf75cc347,56c027e8-1bdd-4174-944f-a82d5dd18198,House Music Vinyls,Josh Wink - Higher State of Consciousness,Vinyl,1997,New,67.02,Classic house music vinyl record: Josh Wink - Higher State of Consciousness,
d7d130c6-65f2-492f-a021-be109ab90a34,56c027e8-1bdd-4174-944f-a82d5dd18198,House Music Vinyls,The Prodigy - No Good (Start the Dance),Vinyl,2010,New,46.55,Classic house music vinyl record: The Prodigy - No Good (Start the Dance),
abde5476-f94f-407c-a944-910ba02b7952,56c027e8-1bdd-4174-944f-a82d5dd18198,House Music Vinyls,Underworld - Born Slippy,Vinyl,1981,New,44.24,Classic house music vinyl record: Underworld - Born Slippy,
78d321a2-e7c4-4943-91e5-35e8e9a52c0b,56c027e8-1bdd-4174-944f-a82d5dd18198,House Music Vinyls,"Fatboy Slim - Right Here, Right Now",Vinyl,2008,New,54.61,"Classic house music vinyl record: Fatboy Slim - Right Here, Right Now",
78e6293b-b69f-452b-b9a3-16037341825f,56c027e8-1bdd-4174-944f-a82d5dd18198,House Music Vinyls,Armand Van Helden - U Don't Know Me,Vinyl,1989,New,40.83,Classic house music vinyl record: Armand Van Helden - U Don't Know Me,
675eeef1-f8f5-46d2-b59a-e55bba53838f,56c027e8-1bdd-4174-944f-a82d5dd18198,House Music Vinyls,Moloko - Sing It Back,Vinyl,1983,New,95.35,Classic house music vinyl record: Moloko - Sing It Back,
c0e7e65c-34c2-4cab-8e15-eadf125da58a,56c027e8-1bdd-4174-944f-a82d5dd18198,House Music Vinyls,The Chemical Brothers - Hey Boy Hey Girl,Vinyl,2019,New,67.11,Classic house music vinyl record: The Chemical Brothers - Hey Boy Hey Girl,
5f634e3c-e6e9-4261-a2c0-71996f6bfcbf,56c027e8-1bdd-4174-944f-a82d5dd18198,House Music Vinyls,Modjo - Lady (Hear Me Tonight),Vinyl,1985,New,74.94,Classic house music vinyl record: Modjo - Lady (Hear Me Tonight),
9233763a-6084-4ef0-b7e9-8852f6c5c39d,56c027e8-1bdd-4174-944f-a82d5dd18198,House Music Vinyls,Stardust - Music Sounds Better With You,Vinyl,2009,New,136.69,Classic house music vinyl record: Stardust - Music Sounds Better With You,
bb0d36ee-c6aa-48c5-a9b1-d6c3165d8adc,56c027e8-1bdd-4174-944f-a82d5dd18198,House Music Vinyls,Eric Prydz - Call On Me,Vinyl,2008,New,99.45,Classic house music vinyl record: Eric Prydz - Call On Me,
d674a281-e71b-4510-b099-70d51c2d35b3,56c027e8-1bdd-4174-944f-a82d5dd18198,House Music Vinyls,Deadmau5 - Strobe,Vinyl,2012,New,104.39,Classic house music vinyl record: Deadmau5 - Strobe,
86d0896e-290f-491c-99f4-d4e982bcbbec,56c027e8-1bdd-4174-944f-a82d5dd18198,House Music Vinyls,Calvin Harris - I'm Not Alone,Vinyl,2006,New,146.73,Classic house music vinyl record: Calvin Harris - I'm Not Alone,
4e358c8f-bbbf-4544-a9d8-f651baceb6d1,56c027e8-1bdd-4174-944f-a82d5dd18198,House Music Vinyls,Disclosure - Latch,Vinyl,1998,New,105.15,Classic house music vinyl record: Disclosure - Latch,
21b7304e-2d5b-4494-b306-5dd717bd8dfe,56c027e8-1bdd-4174-944f-a82d5dd18198,New Balance Sneakers,New Balance 550 White/Grey,Sneakers,2016,New,262.34,Limited edition New Balance sneaker: New Balance 550 White/Grey,
6c9a7771-18ed-4970-b9f3-1aa1a9aadcc2,56c027e8-1bdd-4174-944f-a82d5dd18198,New Balance Sneakers,New Balance 990v3 Grey,Sneakers,2023,New,236.94,Limited edition New Balance sneaker: New Balance 990v3 Grey,
6673308b-f720-4665-870a-f3f098317988,56c027e8-1bdd-4174-944f-a82d5dd18198,New Balance Sneakers,New Balance 2002R Protection Pack,Sneakers,2011,New,211.67,Limited edition New Balance sneaker: New Balance 2002R Protection Pack,
0de46e36-f6ab-4c43-a2f9-561ddbf636fa,56c027e8-1bdd-4174-944f-a82d5dd18198,New Balance Sneakers,New Balance 9060 Black,Sneakers,2015,New,256.51,Limited edition New Balance sneaker: New Balance 9060 Black,
